LGA,Attribute,90th_Percentile,Median,LGA_Code,Decile
Mount Alexander,Jan - Mar 2025,32.91,14.88,25430,8
Mount Alexander,Apr - Jun 2025,32.86,15.94,25430,8
Moyne,Apr - Jun 2024,32.17,18.93,25490,9
Moyne,Jul - Sep 2024,31.67,17.57,25490,9
Moyne,Oct - Dec 2024,32.79,17.88,25490,9
Moyne,Jan - Mar 2025,31.32,18.2,25490,9
Moyne,Apr - Jun 2025,32.24,17.73,25490,9
Murrindindi,Apr - Jun 2024,41.62,22.22,25620,7
Murrindindi,Jul - Sep 2024,41.88,19.83,25620,7
Murrindindi,Oct - Dec 2024,45.34,23.32,25620,7
Murrindindi,Jan - Mar 2025,51.97,20.92,25620,7
Murrindindi,Apr - Jun 2025,43.27,21.55,25620,7
Nillumbik,Apr - Jun 2024,29.81,15.35,25710,10
Nillumbik,Jul - Sep 2024,30.37,15.58,25710,10
Nillumbik,Oct - Dec 2024,29.18,15.27,25710,10
Nillumbik,Jan - Mar 2025,29.99,14.79,25710,10
Nillumbik,Apr - Jun 2025,27.44,13.99,25710,10
Northern Grampians,Apr - Jun 2024,37.13,11.53,25810,4
Northern Grampians,Jul - Sep 2024,35.28,11.18,25810,4
Northern Grampians,Oct - Dec 2024,39.84,12.84,25810,4
Northern Grampians,Jan - Mar 2025,34.7,10.12,25810,4
Northern Grampians,Apr - Jun 2025,37.71,10.53,25810,4
Port Phillip,Apr - Jun 2024,24.77,11.92,25900,10
Port Phillip,Jul - Sep 2024,23.51,11.33,25900,10
Port Phillip,Oct - Dec 2024,23.56,11.5,25900,10
Port Phillip,Jan - Mar 2025,23.25,11.87,25900,10
Port Phillip,Apr - Jun 2025,24.41,11.87,25900,10
Pyrenees,Apr - Jun 2024,40.92,21.12,25990,4
Pyrenees,Jul - Sep 2024,38.31,21.17,25990,4
Pyrenees,Oct - Dec 2024,41.48,22.93,25990,4
Pyrenees,Jan - Mar 2025,33.82,19.55,25990,4
Pyrenees,Apr - Jun 2025,41.42,20.83,25990,4
Queenscliffe,Apr - Jun 2024,25.18,13.58,26080,10
Queenscliffe,Jul - Sep 2024,22.39,14.1,26080,10
Queenscliffe,Oct - Dec 2024,22.66,14.19,26080,10
Queenscliffe,Jan - Mar 2025,24.73,14.65,26080,10
Queenscliffe,Apr - Jun 2025,19.02,14.37,26080,10
South Gippsland,Apr - Jun 2024,36.42,16.97,26170,7
South Gippsland,Jul - Sep 2024,34.22,15.78,26170,7
South Gippsland,Oct - Dec 2024,34.55,15.39,26170,7
South Gippsland,Jan - Mar 2025,34.94,17.11,26170,7
South Gippsland,Apr - Jun 2025,36.37,16.31,26170,7
Southern Grampians,Apr - Jun 2024,31.43,9.44,26260,7
Southern Grampians,Jul - Sep 2024,37.84,10.92,26260,7
Southern Grampians,Oct - Dec 2024,34.01,10.98,26260,7
Southern Grampians,Jan - Mar 2025,33.62,10.74,26260,7
Southern Grampians,Apr - Jun 2025,35.57,11.02,26260,7
Stonnington,Apr - Jun 2024,23.93,12.02,26350,10
Stonnington,Jul - Sep 2024,23.75,11.81,26350,10
Stonnington,Oct - Dec 2024,24.78,12.08,26350,10
Stonnington,Jan - Mar 2025,23.62,12.12,26350,10
Stonnington,Apr - Jun 2025,23.38,12.08,26350,10
Strathbogie,Apr - Jun 2024,40.91,22.79,26430,6
Strathbogie,Jul - Sep 2024,41.19,21.78,26430,6
Strathbogie,Oct - Dec 2024,40.41,22.14,26430,6
Strathbogie,Jan - Mar 2025,39.41,20.57,26430,6
Strathbogie,Apr - Jun 2025,40.73,21.46,26430,6
Surf Coast,Apr - Jun 2024,29.22,12.78,26490,10
Surf Coast,Jul - Sep 2024,31.83,12.26,26490,10
Surf Coast,Oct - Dec 2024,29.06,12.27,26490,10
Surf Coast,Jan - Mar 2025,30.7,12.62,26490,10
Surf Coast,Apr - Jun 2025,30.79,13.74,26490,10
Swan Hill,Apr - Jun 2024,32.8,10.27,26610,3
Swan Hill,Jul - Sep 2024,29.26,10.68,26610,3
Swan Hill,Oct - Dec 2024,29.66,10.31,26610,3
Swan Hill,Jan - Mar 2025,29.75,9.83,26610,3
Swan Hill,Apr - Jun 2025,28.55,9.83,26610,3
Towong,Apr - Jun 2024,52.33,22.83,26670,7
Towong,Jul - Sep 2024,55.96,23.93,26670,7
Towong,Oct - Dec 2024,63.6,23.57,26670,7
Towong,Jan - Mar 2025,59.59,24.48,26670,7
Towong,Apr - Jun 2025,53.22,19.8,26670,7
Unincorporated Vic,Apr - Jun 2024,57.04,20.97,29399,8
Unincorporated Vic,Jul - Sep 2024,55.39,16.23,29399,8
