SA3_Code,Population_2024,Sum_of_Area,Avg_Pop_Density
31901,100388,3786.1,26.51488339
31902,52275,30736.8,1.700730069
31903,57340,6975.3,8.220434963
31904,69662,251.4,277.0962609
31905,51123,6752.9,7.570525256
10102,68473,6511.5,10.51570299
10103,21296,14284.5,1.490846722
10104,78003,9864.4,7.907526053
10105,39562,9099.9,4.347520302
10106,38753,12135.9,3.193253076
10201,181658,988.4,183.7899636
10202,173145,692.6,249.9927808
10301,50529,6984.2,7.234758455
10302,54344,41000.9,1.32543432
10303,48327,16044.7,3.012022662
10304,62800,6267.5,10.01994416
10401,55716,9263.2,6.014768115
10402,94847,3966.5,23.91201311
10501,22005,162762.4,0.135197073
10502,19840,146854.8,0.135099432
10503,76236,29738.3,2.563562813
10601,105038,8566.7,12.26119743
10602,94799,380.1,249.4054196
10603,79356,1072.1,74.01921463
10604,31223,11472.5,2.721551536
10701,82396,163.9,502.7211714
10702,5,744.3,0.006717721
10703,104623,391,267.5780051
10704,139323,240.2,580.0291424
10801,33811,3133.1,10.79154831
10802,52761,5339.5,9.88126229
10803,448,16.3,27.48466258
10804,90903,3687.8,24.64965562
10805,58837,6675,8.814531835
10901,69679,5597.1,12.44912544
10902,13332,63967.9,0.208417034
10903,44453,28231.6,1.574583091
11001,38154,16395.6,2.327087755
11002,39310,30566.5,1.286048452
11003,24828,32022.7,0.775325004
11004,87997,20155.1,4.365991734
11101,129234,138.1,935.8001448
11102,90226,507.7,177.7151861
11103,187897,224.8,835.8407473
11201,91379,1572.8,58.09956765
11202,71639,7390.6,9.693259005
11203,99793,1307.7,76.31184522
11301,49946,28859.7,1.730648621
11302,14971,9174.7,1.631769976
11303,100935,18950.5,5.32624469
11401,110537,4375,25.2656
11402,53517,2330.1,22.96768379
11501,159856,72,2220.222222
11502,28423,569.2,49.93499649
11503,25243,2492.1,10.1292083
11504,74414,118.2,629.5600677
11601,147185,56,2628.303571
11602,176444,103,1713.048544
11603,118825,81.9,1450.854701
11701,62328,28.3,2202.402827
11702,57207,12.7,4504.488189
11703,243970,25.1,9719.920319
11801,133328,26.3,5069.505703
11802,144589,31.4,4604.745223
11901,193256,68.7,2813.042213
11902,146381,29.9,4895.685619
11903,138899,33.9,4097.315634
11904,155571,31.4,4954.490446
12001,89946,19.7,4565.786802
12002,58273,10.7,5446.074766
12003,172236,34.1,5050.909091
12101,124750,33.3,3746.246246
12102,90755,137.5,660.0363636
12103,128989,85.6,1506.880841
12104,99529,19,5238.368421
12201,45173,14.3,3158.951049
12202,64366,90.7,709.6582139
12203,161233,149.1,1081.374916
12301,77749,73.9,1052.083897
12302,189943,332.9,570.570742
12303,50473,870.3,57.99494427
12401,78604,942.4,83.40831919
12402,7,2456.9,0.002849119
12403,169142,356.8,474.0526906
12404,39434,178.8,220.5480984
12405,59138,33.2,1781.26506
